"","Data.Frame.Name","Source.of.Data.Column","Pretty.Name.from.FBref","Description.From.FBref..optional.","stat_cat"
"1","summary_player","From Table","Player Name","","Summary"
"2","summary_jersey_number","From Table","Shirt Number","","Summary"
"3","summary_nation","From Table","Nationality","First, we check our records in international play at senior level. Then youth level. Then citizenship presented on wikipedia. Finally, we use their birthplace when available.","Summary"
"4","summary_pos","From Table","Postion","Position most commonly played by the player GK - Goalkeepers DF - Defenders MF - Midfielders FW - Forwards FB - Fullbacks LB - Left Backs RB - Right Backs CB - Center Backs DM - Defensive Midfielders CM - Central Midfielders LM - Left Midfielders RM - Right Midfielders WM - Wide Midfielders LW - Left Wingers RW - Right Wingers AM - Attacking Midfielders","Summary"
"5","summary_age","From Table","Age","Age at season start","Summary"
"6","summary_min","From Table","Minutes","Minutes Played in a match ","Summary"
"7","summary_performance_gls","From Table","Goals","Goals scored or allowed","Attacking"
"8","summary_performance_pk","From Table","Penalty Kicks Made","","Attacking"
"9","summary_performance_pkatt","From Table","Penalty Kicks Attempted","","Attacking"
"10","summary_performance_sh","From Table","Shots Total","Does not include penalty kicks","Attacking"
"11","summary_performance_sot","From Table","Shots on target","Shots on target do not include penalty kicks","Attacking"
"12","summary_expected_xg","From Table","Expected Goals","xG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted). An underline indicates there is a match that is missing data, but will be updated when available. Provided by Opta.","Attacking"
"13","summary_expected_npxg","From Table","Non-Penalty Expected Goals","","Attacking"
"14","summary_sca_sca","From Table","Shot-Creating Actions","The two offensive actions directly leading to a shot, such as passes, take-ons and drawing fouls. Note: A single player can receive credit for multiple actions and the shot-taker can also receive credit.","Attacking"
"15","summary_sca_gca","From Table","Goal-Creating Actions","The two offensive actions directly leading to a goal, such as passes, take-ons and drawing fouls. Note: A single player can receive credit for multiple actions and the shot-taker can also receive credit.","Attacking"
"16","passing_total_cmp","From Table","Passes Completed","","Passing"
"17","passing_total_att","From Table","Passes Attempted","","Passing"
"18","passing_total_comp_prct","From Table","","","Passing"
"19","passing_total_totdist","From Table","Total Passing Distance","Total distance, in yards, that completed passes have traveled in any direction","Passing"
"20","passing_total_prgdist","From Table","Progressive Passing Distance","Total distance, in yards, that completed passes have traveled towards the opponent's goal. Note: Passes away from opponent's goal are counted as zero progressive yards.","Passing"
"21","passing_short_cmp","From Table","Passes Completed (Short)","Passes between 5 and 15 yards","Passing"
"22","passing_short_att","From Table","Passes Attempted (Short)","Passes between 5 and 15 yards","Passing"
"23","passing_short_comp_prct","From Table","Pass Completion % (Short)","Passes between 5 and 15 yards","Passing"
"24","passing_medium_cmp","From Table","Passes Completed (Medium)","Passes between 15 and 30 yards","Passing"
"25","passing_medium_att","From Table","Passes Attempted (Medium)","Passes between 15 and 30 yards","Passing"
"26","passing_medium_comp_prct","From Table","Pass Completion % (Medium)","Passes between 15 and 30 yards","Passing"
"27","passing_long_cmp","From Table","Passes Completed (Long)","Passes longer than 30 yards","Passing"
"28","passing_long_att","From Table","Passes Attempted (Long)","Passes longer than 30 yards","Passing"
"29","passing_long_comp_prct","From Table","Pass Completion % (Long)","Passes longer than 30 yards","Passing"
"30","passing_ast","From Table","Assists","","Passing"
"31","passing_xag","From Table","Expected Assisted Goals","","Passing"
"32","passing_xa","From Table","Expected Assists","The likelihood each completed pass becomes a goal assists given the pass type, phase of play, location and distance.","Passing"
"33","passing_kp","From Table","Key Passes","Passes that directly lead to a shot (assisted shots)","Passing"
"34","passing_into_final_third","From Table","Passes into Final Third","Completed passes that enter the 1/3 of the pitch closest to the goal","Passing"
"35","passing_ppa","From Table","Passes into Penalty Area","Completed passes into the 18-yard box","Passing"
"36","passing_crspa","From Table","Crosses into Penalty Area","Completed crosses into the 18-yard box","Passing"
