"","competition_name","season_end_year","fixtures_url","comp_url","season","country","gender","tier"
"1","Campeonato Brasileiro Série A",2017,"https://fbref.com/en/comps/24/2017/schedule/2017-Serie-A-Scores-and-Fixtures","https://fbref.com/en/comps/24/history/Serie-A-Seasons","2017","","M",""
"2","Campeonato Brasileiro Série A",2018,"https://fbref.com/en/comps/24/2018/schedule/2018-Serie-A-Scores-and-Fixtures","https://fbref.com/en/comps/24/history/Serie-A-Seasons","2018","","M",""
"3","Campeonato Brasileiro Série A",2019,"https://fbref.com/en/comps/24/2019/schedule/2019-Serie-A-Scores-and-Fixtures","https://fbref.com/en/comps/24/history/Serie-A-Seasons","2019","","M",""
"4","Campeonato Brasileiro Série A",2020,"https://fbref.com/en/comps/24/2020/schedule/2020-Serie-A-Scores-and-Fixtures","https://fbref.com/en/comps/24/history/Serie-A-Seasons","2020","","M",""
"5","Campeonato Brasileiro Série A",2021,"https://fbref.com/en/comps/24/2021/schedule/2021-Serie-A-Scores-and-Fixtures","https://fbref.com/en/comps/24/history/Serie-A-Seasons","2021","","M",""
"6","Campeonato Brasileiro Série A",2022,"https://fbref.com/en/comps/24/2022/schedule/2022-Serie-A-Scores-and-Fixtures","https://fbref.com/en/comps/24/history/Serie-A-Seasons","2022","","M",""
"7","Campeonato Brasileiro Série A",2024,"https://fbref.com/en/comps/24/2024/schedule/2024-Serie-A-Scores-and-Fixtures","https://fbref.com/en/comps/24/history/Serie-A-Seasons","2024","","M",""
"8","Campeonato Brasileiro Série A",2025,"https://fbref.com/en/comps/24/schedule/Serie-A-Scores-and-Fixtures","https://fbref.com/en/comps/24/history/Serie-A-Seasons","2025","","M",""
"9","Copa Libertadores de América",2017,"https://fbref.com/en/comps/14/2017/schedule/2017-Copa-Libertadores-Scores-and-Fixtures","https://fbref.com/en/comps/14/history/Copa-Libertadores-Seasons","2017","","M",""
"10","Copa Libertadores de América",2018,"https://fbref.com/en/comps/14/2018/schedule/2018-Copa-Libertadores-Scores-and-Fixtures","https://fbref.com/en/comps/14/history/Copa-Libertadores-Seasons","2018","","M",""
"11","Copa Libertadores de América",2019,"https://fbref.com/en/comps/14/2019/schedule/2019-Copa-Libertadores-Scores-and-Fixtures","https://fbref.com/en/comps/14/history/Copa-Libertadores-Seasons","2019","","M",""
"12","Copa Libertadores de América",2020,"https://fbref.com/en/comps/14/2020/schedule/2020-Copa-Libertadores-Scores-and-Fixtures","https://fbref.com/en/comps/14/history/Copa-Libertadores-Seasons","2020","","M",""
"13","Copa Libertadores de América",2021,"https://fbref.com/en/comps/14/2021/schedule/2021-Copa-Libertadores-Scores-and-Fixtures","https://fbref.com/en/comps/14/history/Copa-Libertadores-Seasons","2021","","M",""
"14","Copa Libertadores de América",2022,"https://fbref.com/en/comps/14/2022/schedule/2022-Copa-Libertadores-Scores-and-Fixtures","https://fbref.com/en/comps/14/history/Copa-Libertadores-Seasons","2022","","M",""
"15","Copa Libertadores de América",2023,"https://fbref.com/en/comps/14/2023/schedule/2023-Copa-Libertadores-Scores-and-Fixtures","https://fbref.com/en/comps/14/history/Copa-Libertadores-Seasons","2023","","M",""
"16","Copa Libertadores de América",2024,"https://fbref.com/en/comps/14/schedule/Copa-Libertadores-Scores-and-Fixtures","https://fbref.com/en/comps/14/history/Copa-Libertadores-Seasons","2024","","M",""
"17","EFL Championship",2017,"https://fbref.com/en/comps/10/2016-2017/schedule/2016-2017-Championship-Scores-and-Fixtures","https://fbref.com/en/comps/10/history/Championship-Seasons","2016-2017","","M",""
"18","EFL Championship",2018,"https://fbref.com/en/comps/10/2017-2018/schedule/2017-2018-Championship-Scores-and-Fixtures","https://fbref.com/en/comps/10/history/Championship-Seasons","2017-2018","","M",""
"19","EFL Championship",2019,"https://fbref.com/en/comps/10/2018-2019/schedule/2018-2019-Championship-Scores-and-Fixtures","https://fbref.com/en/comps/10/history/Championship-Seasons","2018-2019","","M",""
"20","EFL Championship",2020,"https://fbref.com/en/comps/10/2019-2020/schedule/2019-2020-Championship-Scores-and-Fixtures","https://fbref.com/en/comps/10/history/Championship-Seasons","2019-2020","","M",""
"21","EFL Championship",2021,"https://fbref.com/en/comps/10/2020-2021/schedule/2020-2021-Championship-Scores-and-Fixtures","https://fbref.com/en/comps/10/history/Championship-Seasons","2020-2021","","M",""
"22","EFL Championship",2022,"https://fbref.com/en/comps/10/2021-2022/schedule/2021-2022-Championship-Scores-and-Fixtures","https://fbref.com/en/comps/10/history/Championship-Seasons","2021-2022","","M",""
"23","EFL Championship",2023,"https://fbref.com/en/comps/10/2022-2023/schedule/2022-2023-Championship-Scores-and-Fixtures","https://fbref.com/en/comps/10/history/Championship-Seasons","2022-2023","","M",""
"24","EFL Championship",2024,"https://fbref.com/en/comps/10/schedule/Championship-Scores-and-Fixtures","https://fbref.com/en/comps/10/history/Championship-Seasons","2023-2024","","M",""
"25","Eredivisie",2017,"https://fbref.com/en/comps/23/2016-2017/schedule/2016-2017-Eredivisie-Scores-and-Fixtures","https://fbref.com/en/comps/23/history/Eredivisie-Seasons","2016-2017","","M",""
"26","Eredivisie",2018,"https://fbref.com/en/comps/23/2017-2018/schedule/2017-2018-Eredivisie-Scores-and-Fixtures","https://fbref.com/en/comps/23/history/Eredivisie-Seasons","2017-2018","","M",""
"27","Eredivisie",2019,"https://fbref.com/en/comps/23/2018-2019/schedule/2018-2019-Eredivisie-Scores-and-Fixtures","https://fbref.com/en/comps/23/history/Eredivisie-Seasons","2018-2019","","M",""
"28","Eredivisie",2020,"https://fbref.com/en/comps/23/2019-2020/schedule/2019-2020-Eredivisie-Scores-and-Fixtures","https://fbref.com/en/comps/23/history/Eredivisie-Seasons","2019-2020","","M",""
"29","Eredivisie",2021,"https://fbref.com/en/comps/23/2020-2021/schedule/2020-2021-Eredivisie-Scores-and-Fixtures","https://fbref.com/en/comps/23/history/Eredivisie-Seasons","2020-2021","","M",""
"30","Eredivisie",2022,"https://fbref.com/en/comps/23/2021-2022/schedule/2021-2022-Eredivisie-Scores-and-Fixtures","https://fbref.com/en/comps/23/history/Eredivisie-Seasons","2021-2022","","M",""
"31","Eredivisie",2023,"https://fbref.com/en/comps/23/2022-2023/schedule/2022-2023-Eredivisie-Scores-and-Fixtures","https://fbref.com/en/comps/23/history/Eredivisie-Seasons","2022-2023","","M",""
"32","Eredivisie",2024,"https://fbref.com/en/comps/23/schedule/Eredivisie-Scores-and-Fixtures","https://fbref.com/en/comps/23/history/Eredivisie-Seasons","2023-2024","","M",""
"33","Fußball-Bundesliga",2017,"https://fbref.com/en/comps/20/2016-2017/schedule/2016-2017-Bundesliga-Scores-and-Fixtures","https://fbref.com/en/comps/20/history/Bundesliga-Seasons","2016-2017","","M",""
"34","Fußball-Bundesliga",2018,"https://fbref.com/en/comps/20/2017-2018/schedule/2017-2018-Bundesliga-Scores-and-Fixtures","https://fbref.com/en/comps/20/history/Bundesliga-Seasons","2017-2018","","M",""
"35","Fußball-Bundesliga",2019,"https://fbref.com/en/comps/20/2018-2019/schedule/2018-2019-Bundesliga-Scores-and-Fixtures","https://fbref.com/en/comps/20/history/Bundesliga-Seasons","2018-2019","","M",""
"36","Fußball-Bundesliga",2020,"https://fbref.com/en/comps/20/2019-2020/schedule/2019-2020-Bundesliga-Scores-and-Fixtures","https://fbref.com/en/comps/20/history/Bundesliga-Seasons","2019-2020","","M",""
"37","Fußball-Bundesliga",2021,"https://fbref.com/en/comps/20/2020-2021/schedule/2020-2021-Bundesliga-Scores-and-Fixtures","https://fbref.com/en/comps/20/history/Bundesliga-Seasons","2020-2021","","M",""
"38","Fußball-Bundesliga",2022,"https://fbref.com/en/comps/20/2021-2022/schedule/2021-2022-Bundesliga-Scores-and-Fixtures","https://fbref.com/en/comps/20/history/Bundesliga-Seasons","2021-2022","","M",""
"39","Fußball-Bundesliga",2023,"https://fbref.com/en/comps/20/2022-2023/schedule/2022-2023-Bundesliga-Scores-and-Fixtures","https://fbref.com/en/comps/20/history/Bundesliga-Seasons","2022-2023","","M",""
"40","Fußball-Bundesliga",2024,"https://fbref.com/en/comps/20/schedule/Bundesliga-Scores-and-Fixtures","https://fbref.com/en/comps/20/history/Bundesliga-Seasons","2023-2024","","M",""
"41","La Liga",2017,"https://fbref.com/en/comps/12/2016-2017/schedule/2016-2017-La-Liga-Scores-and-Fixtures","https://fbref.com/en/comps/12/history/La-Liga-Seasons","2016-2017","","M",""
"42","La Liga",2018,"https://fbref.com/en/comps/12/2017-2018/schedule/2017-2018-La-Liga-Scores-and-Fixtures","https://fbref.com/en/comps/12/history/La-Liga-Seasons","2017-2018","","M",""
"43","La Liga",2019,"https://fbref.com/en/comps/12/2018-2019/schedule/2018-2019-La-Liga-Scores-and-Fixtures","https://fbref.com/en/comps/12/history/La-Liga-Seasons","2018-2019","","M",""
"44","La Liga",2020,"https://fbref.com/en/comps/12/2019-2020/schedule/2019-2020-La-Liga-Scores-and-Fixtures","https://fbref.com/en/comps/12/history/La-Liga-Seasons","2019-2020","","M",""
"45","La Liga",2021,"https://fbref.com/en/comps/12/2020-2021/schedule/2020-2021-La-Liga-Scores-and-Fixtures","https://fbref.com/en/comps/12/history/La-Liga-Seasons","2020-2021","","M",""
"46","La Liga",2022,"https://fbref.com/en/comps/12/2021-2022/schedule/2021-2022-La-Liga-Scores-and-Fixtures","https://fbref.com/en/comps/12/history/La-Liga-Seasons","2021-2022","","M",""
"47","La Liga",2023,"https://fbref.com/en/comps/12/2022-2023/schedule/2022-2023-La-Liga-Scores-and-Fixtures","https://fbref.com/en/comps/12/history/La-Liga-Seasons","2022-2023","","M",""
"48","La Liga",2024,"https://fbref.com/en/comps/12/schedule/La-Liga-Scores-and-Fixtures","https://fbref.com/en/comps/12/history/La-Liga-Seasons","2023-2024","","M",""
"49","Liga MX",2017,"https://fbref.com/en/comps/31/2016-2017/schedule/2016-2017-Liga-MX-Scores-and-Fixtures","https://fbref.com/en/comps/31/history/Liga-MX-Seasons","2016-2017","","M",""
"50","Liga MX",2018,"https://fbref.com/en/comps/31/2017-2018/schedule/2017-2018-Liga-MX-Scores-and-Fixtures","https://fbref.com/en/comps/31/history/Liga-MX-Seasons","2017-2018","","M",""
"51","Liga MX",2019,"https://fbref.com/en/comps/31/2018-2019/schedule/2018-2019-Liga-MX-Scores-and-Fixtures","https://fbref.com/en/comps/31/history/Liga-MX-Seasons","2018-2019","","M",""
"52","Liga MX",2020,"https://fbref.com/en/comps/31/2019-2020/schedule/2019-2020-Liga-MX-Scores-and-Fixtures","https://fbref.com/en/comps/31/history/Liga-MX-Seasons","2019-2020","","M",""
"53","Liga MX",2021,"https://fbref.com/en/comps/31/2020-2021/schedule/2020-2021-Liga-MX-Scores-and-Fixtures","https://fbref.com/en/comps/31/history/Liga-MX-Seasons","2020-2021","","M",""
"54","Liga MX",2022,"https://fbref.com/en/comps/31/2021-2022/schedule/2021-2022-Liga-MX-Scores-and-Fixtures","https://fbref.com/en/comps/31/history/Liga-MX-Seasons","2021-2022","","M",""
"55","Liga MX",2023,"https://fbref.com/en/comps/31/2022-2023/schedule/2022-2023-Liga-MX-Scores-and-Fixtures","https://fbref.com/en/comps/31/history/Liga-MX-Seasons","2022-2023","","M",""
"56","Liga MX",2024,"https://fbref.com/en/comps/31/schedule/Liga-MX-Scores-and-Fixtures","https://fbref.com/en/comps/31/history/Liga-MX-Seasons","2023-2024","","M",""
"57","Ligue 1",2017,"https://fbref.com/en/comps/13/2016-2017/schedule/2016-2017-Ligue-1-Scores-and-Fixtures","https://fbref.com/en/comps/13/history/Ligue-1-Seasons","2016-2017","","M",""
"58","Ligue 1",2018,"https://fbref.com/en/comps/13/2017-2018/schedule/2017-2018-Ligue-1-Scores-and-Fixtures","https://fbref.com/en/comps/13/history/Ligue-1-Seasons","2017-2018","","M",""
"59","Ligue 1",2019,"https://fbref.com/en/comps/13/2018-2019/schedule/2018-2019-Ligue-1-Scores-and-Fixtures","https://fbref.com/en/comps/13/history/Ligue-1-Seasons","2018-2019","","M",""
"60","Ligue 1",2020,"https://fbref.com/en/comps/13/2019-2020/schedule/2019-2020-Ligue-1-Scores-and-Fixtures","https://fbref.com/en/comps/13/history/Ligue-1-Seasons","2019-2020","","M",""
"61","Ligue 1",2021,"https://fbref.com/en/comps/13/2020-2021/schedule/2020-2021-Ligue-1-Scores-and-Fixtures","https://fbref.com/en/comps/13/history/Ligue-1-Seasons","2020-2021","","M",""
"62","Ligue 1",2022,"https://fbref.com/en/comps/13/2021-2022/schedule/2021-2022-Ligue-1-Scores-and-Fixtures","https://fbref.com/en/comps/13/history/Ligue-1-Seasons","2021-2022","","M",""
"63","Ligue 1",2023,"https://fbref.com/en/comps/13/2022-2023/schedule/2022-2023-Ligue-1-Scores-and-Fixtures","https://fbref.com/en/comps/13/history/Ligue-1-Seasons","2022-2023","","M",""
"64","Ligue 1",2024,"https://fbref.com/en/comps/13/schedule/Ligue-1-Scores-and-Fixtures","https://fbref.com/en/comps/13/history/Ligue-1-Seasons","2023-2024","","M",""
"65","Major League Soccer",2017,"https://fbref.com/en/comps/22/2017/schedule/2017-Major-League-Soccer-Scores-and-Fixtures","https://fbref.com/en/comps/22/history/Major-League-Soccer-Seasons","2017","","M",""
"66","Major League Soccer",2018,"https://fbref.com/en/comps/22/2018/schedule/2018-Major-League-Soccer-Scores-and-Fixtures","https://fbref.com/en/comps/22/history/Major-League-Soccer-Seasons","2018","","M",""
"67","Major League Soccer",2019,"https://fbref.com/en/comps/22/2019/schedule/2019-Major-League-Soccer-Scores-and-Fixtures","https://fbref.com/en/comps/22/history/Major-League-Soccer-Seasons","2019","","M",""
"68","Major League Soccer",2020,"https://fbref.com/en/comps/22/2020/schedule/2020-Major-League-Soccer-Scores-and-Fixtures","https://fbref.com/en/comps/22/history/Major-League-Soccer-Seasons","2020","","M",""
"69","Major League Soccer",2021,"https://fbref.com/en/comps/22/2021/schedule/2021-Major-League-Soccer-Scores-and-Fixtures","https://fbref.com/en/comps/22/history/Major-League-Soccer-Seasons","2021","","M",""
"70","Major League Soccer",2022,"https://fbref.com/en/comps/22/2022/schedule/2022-Major-League-Soccer-Scores-and-Fixtures","https://fbref.com/en/comps/22/history/Major-League-Soccer-Seasons","2022","","M",""
"71","Major League Soccer",2023,"https://fbref.com/en/comps/22/2023/schedule/2023-Major-League-Soccer-Scores-and-Fixtures","https://fbref.com/en/comps/22/history/Major-League-Soccer-Seasons","2023","","M",""
"72","Major League Soccer",2024,"https://fbref.com/en/comps/22/schedule/Major-League-Soccer-Scores-and-Fixtures","https://fbref.com/en/comps/22/history/Major-League-Soccer-Seasons","2024","","M",""
"73","Premier League",2017,"https://fbref.com/en/comps/9/2016-2017/schedule/2016-2017-Premier-League-Scores-and-Fixtures","https://fbref.com/en/comps/9/history/Premier-League-Seasons","2016-2017","","M",""
"74","Premier League",2018,"https://fbref.com/en/comps/9/2017-2018/schedule/2017-2018-Premier-League-Scores-and-Fixtures","https://fbref.com/en/comps/9/history/Premier-League-Seasons","2017-2018","","M",""
"75","Premier League",2019,"https://fbref.com/en/comps/9/2018-2019/schedule/2018-2019-Premier-League-Scores-and-Fixtures","https://fbref.com/en/comps/9/history/Premier-League-Seasons","2018-2019","","M",""
"76","Premier League",2020,"https://fbref.com/en/comps/9/2019-2020/schedule/2019-2020-Premier-League-Scores-and-Fixtures","https://fbref.com/en/comps/9/history/Premier-League-Seasons","2019-2020","","M",""
"77","Premier League",2021,"https://fbref.com/en/comps/9/2020-2021/schedule/2020-2021-Premier-League-Scores-and-Fixtures","https://fbref.com/en/comps/9/history/Premier-League-Seasons","2020-2021","","M",""
"78","Premier League",2022,"https://fbref.com/en/comps/9/2021-2022/schedule/2021-2022-Premier-League-Scores-and-Fixtures","https://fbref.com/en/comps/9/history/Premier-League-Seasons","2021-2022","","M",""
"79","Premier League",2023,"https://fbref.com/en/comps/9/2022-2023/schedule/2022-2023-Premier-League-Scores-and-Fixtures","https://fbref.com/en/comps/9/history/Premier-League-Seasons","2022-2023","","M",""
"80","Premier League",2024,"https://fbref.com/en/comps/9/schedule/Premier-League-Scores-and-Fixtures","https://fbref.com/en/comps/9/history/Premier-League-Seasons","2023-2024","","M",""
"81","Primeira Liga",2017,"https://fbref.com/en/comps/32/2016-2017/schedule/2016-2017-Primeira-Liga-Scores-and-Fixtures","https://fbref.com/en/comps/32/history/Primeira-Liga-Seasons","2016-2017","","M",""
"82","Primeira Liga",2018,"https://fbref.com/en/comps/32/2017-2018/schedule/2017-2018-Primeira-Liga-Scores-and-Fixtures","https://fbref.com/en/comps/32/history/Primeira-Liga-Seasons","2017-2018","","M",""
"83","Primeira Liga",2019,"https://fbref.com/en/comps/32/2018-2019/schedule/2018-2019-Primeira-Liga-Scores-and-Fixtures","https://fbref.com/en/comps/32/history/Primeira-Liga-Seasons","2018-2019","","M",""
"84","Primeira Liga",2020,"https://fbref.com/en/comps/32/2019-2020/schedule/2019-2020-Primeira-Liga-Scores-and-Fixtures","https://fbref.com/en/comps/32/history/Primeira-Liga-Seasons","2019-2020","","M",""
"85","Primeira Liga",2021,"https://fbref.com/en/comps/32/2020-2021/schedule/2020-2021-Primeira-Liga-Scores-and-Fixtures","https://fbref.com/en/comps/32/history/Primeira-Liga-Seasons","2020-2021","","M",""
"86","Primeira Liga",2022,"https://fbref.com/en/comps/32/2021-2022/schedule/2021-2022-Primeira-Liga-Scores-and-Fixtures","https://fbref.com/en/comps/32/history/Primeira-Liga-Seasons","2021-2022","","M",""
"87","Primeira Liga",2023,"https://fbref.com/en/comps/32/2022-2023/schedule/2022-2023-Primeira-Liga-Scores-and-Fixtures","https://fbref.com/en/comps/32/history/Primeira-Liga-Seasons","2022-2023","","M",""
"88","Primeira Liga",2024,"https://fbref.com/en/comps/32/schedule/Primeira-Liga-Scores-and-Fixtures","https://fbref.com/en/comps/32/history/Primeira-Liga-Seasons","2023-2024","","M",""
"89","Serie A",2017,"https://fbref.com/en/comps/11/2016-2017/schedule/2016-2017-Serie-A-Scores-and-Fixtures","https://fbref.com/en/comps/11/history/Serie-A-Seasons","2016-2017","","M",""
"90","Serie A",2018,"https://fbref.com/en/comps/11/2017-2018/schedule/2017-2018-Serie-A-Scores-and-Fixtures","https://fbref.com/en/comps/11/history/Serie-A-Seasons","2017-2018","","M",""
